epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,51.6554,0.76323,0.67153,0.90886,0.9338,0.99637,0.98885,0.66296,0.64044,0.4168,0.83775,0.000429253,0.000429253,0.000429253
77,52.3009,0.79361,0.69616,0.94824,0.89612,0.95833,0.93041,0.64983,0.61125,0.41996,0.83467,0.000412749,0.000412749,0.000412749
78,52.9246,0.78342,0.67706,0.95826,0.93717,0.95234,0.93477,0.66782,0.59459,0.40366,0.8348,0.000396246,0.000396246,0.000396246
79,53.6137,0.72007,0.62825,0.91482,0.97474,0.99533,0.995,0.67308,0.60051,0.39103,0.83461,0.000379743,0.000379743,0.000379743
80,54.312,0.7264,0.65058,0.9223,0.96994,0.99162,0.995,0.66483,0.59215,0.3822,0.83266,0.000363239,0.000363239,0.000363239
81,54.9447,0.73576,0.62522,0.91848,0.97061,0.99181,0.995,0.67089,0.58962,0.38823,0.83119,0.000346736,0.000346736,0.000346736
82,55.6394,0.71145,0.62097,0.90263,0.98535,0.95833,0.99192,0.6874,0.56534,0.36068,0.82822,0.000330233,0.000330233,0.000330233
83,56.3246,0.68827,0.5947,0.90485,0.98635,0.95833,0.99192,0.70114,0.55576,0.36571,0.8264,0.000313729,0.000313729,0.000313729
84,56.9552,0.70923,0.60964,0.95604,0.98075,0.95833,0.99192,0.70729,0.57106,0.37231,0.82672,0.000297226,0.000297226,0.000297226
85,57.6233,0.69444,0.59918,0.89385,0.96194,0.99296,0.995,0.72655,0.56759,0.36958,0.82652,0.000280723,0.000280723,0.000280723
86,58.2796,0.68324,0.60919,0.87285,0.96934,0.99235,0.995,0.73257,0.53846,0.34938,0.82018,0.00026422,0.00026422,0.00026422
87,58.9386,0.76615,0.63091,0.93871,0.9728,0.99973,0.995,0.71675,0.54842,0.34858,0.81816,0.000247716,0.000247716,0.000247716
88,59.5863,0.71306,0.61572,0.91449,0.97815,1,0.995,0.7054,0.54436,0.34447,0.81723,0.000231213,0.000231213,0.000231213
89,60.1991,0.75272,0.64945,0.92895,0.98026,1,0.995,0.71905,0.54753,0.3507,0.81932,0.00021471,0.00021471,0.00021471
90,60.8492,0.66663,0.57991,0.89699,0.98167,1,0.995,0.73991,0.53142,0.35597,0.81965,0.000198206,0.000198206,0.000198206
91,72.2209,0.59201,0.56023,0.83582,0.94117,1,0.98885,0.74403,0.52706,0.34827,0.8273,0.000181703,0.000181703,0.000181703
92,72.9065,0.57666,0.54549,0.8201,0.98221,1,0.995,0.74566,0.51331,0.35341,0.82336,0.0001652,0.0001652,0.0001652
93,73.5731,0.54931,0.52654,0.80819,0.98155,1,0.995,0.74476,0.51276,0.34887,0.82294,0.000148696,0.000148696,0.000148696
94,74.2491,0.54143,0.51082,0.81591,0.98083,1,0.995,0.76342,0.50681,0.34965,0.82024,0.000132193,0.000132193,0.000132193
95,74.9067,0.52758,0.51239,0.81538,0.98358,1,0.995,0.77342,0.49902,0.34577,0.81553,0.00011569,0.00011569,0.00011569
96,75.6048,0.52211,0.49917,0.81379,0.98482,0.99837,0.995,0.76911,0.48795,0.35085,0.81338,9.91865e-05,9.91865e-05,9.91865e-05
97,76.2329,0.49279,0.48851,0.80368,0.98415,0.99732,0.995,0.76475,0.47958,0.3472,0.81161,8.26832e-05,8.26832e-05,8.26832e-05
98,76.8885,0.5669,0.53779,0.83465,0.98422,0.99766,0.995,0.77853,0.47112,0.34278,0.8101,6.61799e-05,6.61799e-05,6.61799e-05
99,77.5486,0.50837,0.48536,0.83931,0.98488,0.99732,0.995,0.76973,0.46822,0.3404,0.81024,4.96766e-05,4.96766e-05,4.96766e-05
100,78.2242,0.5233,0.51716,0.82282,0.98614,0.99781,0.995,0.77027,0.46043,0.33324,0.81041,3.31733e-05,3.31733e-05,3.31733e-05
